模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
会议管理,会议预约-新增会议,http,/ilogmeeting/rest/v1/meeting/create,"{""nickName"":""自动化测试"",""remark"":"""",""roomId"":""${roomid}"",""bookingUid"":""${userid}"",""startTime"":""${starttime}"",""endTime"":""${endtime}"",""memberIds"":[],""notifyNow"":false}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议预约-新建会议室,http,/ilogmeeting/rest/v1/meeting/room/create,"{""size"":10,""enable"":true,""isEdit"":true,""nickName"":""自动化测试会议室""}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议预约-会议室列表,http,/ilogmeeting/rest/v1/meeting/room/all,,POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议预约-编辑会议室,http,/ilogmeeting/rest/v1/meeting/room/update/${roomid},"{""id"":""${roomid}"",""nickName"":""自动化测试会议室编辑"",""description"":null,""size"":10,""enable"":true,""needAudit"":false,""holdingTimes"":null,""isEdit"":true}",PUT,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议预约-删除会议室,http,ilogmeeting/rest/v1/meeting/room/delete?ids=${roomid},,DELETE,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议预约-会议列表,http,/ilogmeeting/rest/v1/meeting/page,"{""pageNumber"":0,""pageSize"":9999,""roomId"":""${roomid}"",""inStatus"":[""BOOKED"",""IN_PROCESS"",""DONE""]}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议预约-人员列表,http,/sysmgt/rest/v1/user/page,"{""filterName"":"""",""departmentId"":"""",""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议审核-状态统计,http,/ilogmeeting/rest/v1/meeting/statusDataByFilter,"{""needAudit"":true,""roomId"":"""",""startTime"":"""",""endTime"":"""",""filterKey"":"""",""sorts"":[{""property"":"""",""asc"":true,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议审核-列表查询,http,/ilogmeeting/rest/v1/meeting/page,"{""inStatus"":[""WAIT_AUDIT""],""roomId"":"""",""startTime"":"""",""endTime"":"""",""filterKey"":"""",""sorts"":[{""property"":"""",""asc"":true,""nullHandling"":true}],""pageSize"":10,""pageNumber"":0,""needAudit"":true}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议审核-会议审核,http,/ilogmeeting/rest/v1/meeting/audit/${meetingid},"{""approve"":true}",PUT,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议统计-状态统计,http,/ilogmeeting/rest/v1/meeting/statusDataByFilter,"{""needAudit"":"""",""roomId"":"""",""startTime"":""2024-12-23 00:00:00"",""endTime"":""2024-12-23 23:59:59"",""filterKey"":"""",""sorts"":[{""property"":"""",""asc"":true,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议统计-列表查询,http,/ilogmeeting/rest/v1/meeting/page,"{""inStatus"":[""BOOKED"",""IN_PROCESS""],""startTime"":"""",""endTime"":"""",""pageSize"":10,""pageNumber"":0,""needAudit"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议统计-取消会议,http,ilogmeeting/rest/v1/meeting/cancel/${meetingid}?cancelReason=111,,POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,会议设置-会议审核设置,http,/ilogmeeting/rest/v1/meeting/setting,"{""enableAudit"":true,""auditAll"":false,""specifyAuditRoomIds"":[""${roomid}""]}",PUT,{'content-type': 'application/json'},,msg,等于,success
会议管理,移动端-我的预约列表,http,/ilogmeeting/rest/v1/meeting/mobile/reservation/page,"{""pageNumber"":0,""pageSize"":10,""filterKey"":"""",""meetingStatus"":[],""startTime"":"""",""endTime"":"""",""isAuditPage"":false}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,移动端-我的会议列表,http,/ilogmeeting/rest/v1/meeting/mobile/page/dateGrouped,"{""pageSize"":10,""pageNumber"":0,""startDate"":"""",""endDate"":"""",""filterKey"":"""",""inStatus"":[""IN_PROCESS"",""BOOKED""]}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,移动端-历史会议列表,http,/ilogmeeting/rest/v1/meeting/mobile/page/dateGrouped/history,"{""pageSize"":10,""pageNumber"":0,""startDate"":"""",""endDate"":"""",""filterKey"":"""",""inStatus"":[""DONE""]}",POST,{'content-type': 'application/json'},,msg,等于,success
会议管理,移动端-会议审核列表,http,/ilogmeeting/rest/v1/meeting/mobile/audit/page,"{""pageNumber"":0,""pageSize"":10,""filterKey"":"""",""meetingStatus"":[""WAIT_AUDIT""],""startTime"":"""",""endTime"":"""",""isAuditPage"":true}",POST,{'content-type': 'application/json'},,msg,等于,success
