模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
物联网,协议管理-成功获取协议列表,http,/iotplat-device/rest/v1/protocol/page,"{""nickName"":"""",""typeCode"":"""",""enable"":"""",""pageNumber"":0,""pageSize"":20}",POST,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":{""content"":[{""id"":""c9cf3033-8bfe-4484-a185-51fa1c00c2cf"",""nickName"":""测试新增协议"",""description"":"""",""enable"":false,""typeCode"":""DAHUA_VIDEO_CLIENT"",""typeName"":""大华网络通讯协议"",""lastModifiedDate"":""2024-09-09 10:20:57"",""createdDate"":""2024-09-09 10:20:57"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[]},{""id"":""2fe7a556-7789-49c2-9117-d6bb478bea21"",""nickName"":""门禁协议"",""description"":"""",""enable"":true,""typeCode"":""HTTP"",""typeName"":""HTTP"",""lastModifiedDate"":""2024-08-27 16:47:48"",""createdDate"":""2024-08-27 16:41:47"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[""NORMAL""]},{""id"":""906a4547-6557-4186-8931-65fd3775b98d"",""nickName"":""bos_modbus"",""description"":"""",""enable"":true,""typeCode"":""modbus"",""typeName"":""modbus"",""lastModifiedDate"":""2024-06-06 17:31:56"",""createdDate"":""2023-09-28 13:55:49"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null},{""id"":""a148cbd6-42a2-44f1-9ba9-dbb108091380"",""nickName"":""大华视频通讯协议"",""description"":"""",""enable"":true,""typeCode"":""DAHUA_VIDEO_CLIENT"",""typeName"":""大华网络通讯协议"",""lastModifiedDate"":""2024-06-06 17:30:11"",""createdDate"":""2023-11-26 10:49:27"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null},{""id"":""927078e0-814e-44c2-abca-17f1523a7e92"",""nickName"":""wvp_http"",""description"":"""",""enable"":true,""typeCode"":""HTTP"",""typeName"":""HTTP"",""lastModifiedDate"":""2024-06-06 17:30:00"",""createdDate"":""2023-11-02 16:03:36"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null},{""id"":""5a2e1237-0c5f-4ee5-ab7a-29ee7753e034"",""nickName"":""bos_mqtt"",""description"":""mqtt"",""enable"":true,""typeCode"":""mqtt"",""typeName"":""mqtt"",""lastModifiedDate"":""2024-06-06 17:29:51"",""createdDate"":""2023-09-28 13:56:20"",""serviceMode"":""CLIENT"",""configList"":null,""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":null}],""totalPage"":1,""totalSize"":6}}",content,isinstance,list
物联网,协议管理-成功新增协议,http,/iotplat-device/rest/v1/protocol,"{""id"":"""",""nickName"":""${nickName}"",""serviceMode"":""CLIENT"",""typeName"":""大华网络通讯协议"",""description"":"""",""configText"":""测试"",""enable"":false,""configList"":[""测试""],""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[],""typeCode"":""DAHUA_VIDEO_CLIENT""}",POST,{'content-type': 'application/json'},"{
 ""code"": """",
 ""msg"": """",
 ""data"": true
}",data,等于,TRUE
物联网,协议管理-成功删除协议,http,/iotplat-device/rest/v1/protocol/batch/delete?ids=${id},,DELETE,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":true}",code,等于,200
物联网,协议管理-成功编辑协议,http,/iotplat-device/rest/v1/protocol/${id},"{""id"":""ff1ec25d-b14b-4e59-8fa6-f39fee9701ac"",""nickName"":""${nickName}"",""description"":"""",""enable"":false,""typeCode"":""DAHUA_VIDEO_CLIENT"",""typeName"":""大华网络通讯协议"",""lastModifiedDate"":""2024-09-14 10:48:41"",""createdDate"":""2024-09-12 13:58:57"",""serviceMode"":""CLIENT"",""configList"":[""测试修改修改""],""keyValueList"":null,""protocolType"":""BUILD_IN"",""syn"":false,""supportStatusLevels"":[],""configText"":""测试修改修改""}",PUT,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":true,""traceId"":""b0884cb57a3771e54496a4154aceb7cf""}",data,等于,TRUE
物联网,协议管理-更新协议启用状态,http,/iotplat-device/rest/v1/protocol/batch/enable?ids=${id}&enable=true,,PUT,,"{""code"":""200"",""msg"":""success"",""data"":true,""traceId"":""8c718b1024d783b86823ea5fd6c31990""}",data,等于,TRUE
物联网,产品-成功新增产品,http,/iotplat-device/rest/v1/product,"{""id"":"""",""nickName"":""${nickName}"",""protocolVO"":{""id"":""649f69a5-791a-47af-b644-3da4b5984ccc"",""nickName"":""""},""description"":"""",""productKey"":""${productKey}"",""productType"":""CUSTOMIZED"",""standardProductId"":"""",""productCategory"":""DIRECTION"",""tag"":""门禁系统"",""tagId"":""fa71ee76-442a-4970-9103-16f2afacc6a3"",""tagCode"":""iot_access_control_system""}",POST,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":""cd5ac0e3-8d03-4719-91e1-059abcf2d216"",""traceId"":""bf39bfc019bd5a8d831354697f4f69cd""}",msg,等于,success
物联网,产品-分页查询产品,http,/iotplat-device/rest/v1/product/page,"{""filterKey"":"""",""pageNumber"":0,""pageSize"":20,""productStatus"":"""",""productCategory"":""""}",POST,{'content-type': 'application/json'},,content,isinstance,list
物联网,产品-查看产品详情,http,/iotplat-device/rest/v1/product/${id},,GET,,,msg,等于,success
物联网,产品-成功编辑产品,http,/iotplat-device/rest/v1/product/${id},"{""id"":""${id}"",""nickName"":""${nickName}"",""description"":"""",""draftDataId"":""d5d5c1f5-7265-4230-96c7-8c1ec7f1343d"",""published"":false,""productKey"":""82266904productKey"",""productCategory"":""DIRECTION"",""productType"":""CUSTOMIZED"",""standardProductId"":"""",""protocolVO"":{""id"":""649f69a5-791a-47af-b644-3da4b5984ccc"",""nickName"":""wvp_http""},""deviceCount"":0,""productStatus"":""DEVELOPING"",""createdDate"":""2024-09-24 18:33:16"",""lastModifiedDate"":null,""tag"":""环境检测系统"",""tagId"":""ece6c3fb-76eb-412a-985e-8d388b7072bb"",""tagCode"":""iot_environmental_detection_system""}",PUT,{'content-type': 'application/json'},"{""code"":""200"",""msg"":""success"",""data"":true,""traceId"":""e3bf40767a07f42d1d3eab124c3068a7""}",msg,等于,success
物联网,产品—成功发布停用产品,http,/iotplat-device/rest/v1/product/publish/${id},,PUT,,"{""code"":""200"",""msg"":""success"",""data"":true,""traceId"":""58dad5de16ef215f3dcdf67596d73044""}",msg,等于,success
