模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
被服管理,被服档案-选择物资列表,http,/ilogbasic/rest/v1/material/page,"{""filterKey"":"""",""classCode"":""dd767f9d-e236-4846-a419-7058821d0e7e"",""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,data,等于,TRUE
被服管理,被服档案-新增被服,http,/ilogclothing/rest/v1/clothing/pc,"[{""materialId"":""${materialId}"",""rfid"":"""",""code"":""""}]",POST,{'content-type': 'application/json'},,data,等于,TRUE
被服管理,被服档案-所属人列表,http,/sysmgt/rest/v1/user/page,"{""filterName"":"""",""departmentId"":"""",""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,data,等于,TRUE
被服管理,被服档案-登记被服,http,/ilogclothing/rest/v1/clothing/pc/register,"[{""id"":"""",""materialId"":""${materialId}"",""rfid"":"""",""code"":"""",""userId"":""${user_id}""}]",PUT,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服档案-已登记被服列表,http,/ilogclothing/rest/v1/clothing/pc/page,"{""pageNumber"":0,""pageSize"":20,""total"":7,""filterKey"":"""",""departId"":"""",""typeId"":"""",""onlyViewWashCount"":false,""onlyViewNotScrap"":true,""onlyViewExpired"":false,""registered"":true,""sorts"":[{""property"":""registerDate"",""asc"":false,""nullHandling"":true}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服档案-已登记被服详情,http,/ilogclothing/rest/v1/clothing/pc/${clothing_id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服档案-未登记被服列表,http,/ilogclothing/rest/v1/clothing/pc/page,"{""pageNumber"":0,""pageSize"":20,""total"":23,""filterKey"":"""",""departId"":"""",""typeId"":"""",""onlyViewWashCount"":false,""onlyViewNotScrap"":true,""onlyViewExpired"":false,""registered"":false}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服档案-未登记被服详情,http,/ilogclothing/rest/v1/clothing/pc/${clothing_id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服申请-新增申请,http,/ilogclothing/rest/v1/clothing/pc/applyRecord/add,"{""applicant"":""${yr_id}"",""description"":"""",""applyRecordDetail"":[{""fkMaterialId"":""${materialid}"",""nickName"":""${nickname}"",""code"":""${code}"",""normsCode"":null,""applicationQuantity"":1,""typeId"":""${classcode}""}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服申请-申请列表,http,/ilogclothing/rest/v1/clothing/pc/applyRecord/page,"{""filterKey"":"""",""departId"":null,""pageNumber"":0,""pageSize"":20,""processStatus"":null}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服申请-申请列表查询,http,/ilogclothing/rest/v1/clothing/pc/applyRecord/page,"{""filterKey"":""${code}"",""departId"":null,""pageNumber"":0,""pageSize"":20,""processStatus"":null}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服申请-申请详情,http,/ilogclothing/rest/v1/clothing/pc/applyRecord/find/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服报废-新增报废,http,/ilogclothing/rest/v1/clothing/pc/scrap/additional/recording,"{""operator"":""${yr_id}"",""description"":"""",""clothes"":[{""id"":""${id}"",""rfid"":null,""departId"":""${departid}"",""description"":""被服污染"",""files"":[]}]}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服报废-可报废被服列表,http,/ilogclothing/rest/v1/clothing/pc/scrapped/page,"{""filterKey"":"""",""typeId"":""dd767f9d-e236-4846-a419-7058821d0e7e"",""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服报废-被服报废详情,http,/ilogclothing/rest/v1/clothing/pc/scrap/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服报废-被服报废列表,http,/ilogclothing/rest/v1/clothing/pc/scrap/page,"{""filterKey"":"""",""depart"":null,""pageNumber"":0,""pageSize"":20,""processStatus"":null}",POST,{'content-type': 'application/json'},,msg,等于,success
被服管理,被服报废-被服报废列表查询,http,/ilogclothing/rest/v1/clothing/pc/scrap/page,"{""filterKey"":""${code}"",""depart"":null,""pageNumber"":0,""pageSize"":20,""processStatus"":null}",POST,{'content-type': 'application/json'},,msg,等于,success
