模块名,接口描述,Scheme,接口地址,接口参数,请求方式,请求头,响应结果（非必填）,校验字段,校验方式,预期结果
资产管理,资产验收-选择采购单列表,http,/ilogpurchase/rest/v1/procure/page/asset,"{""pageNumber"":0,""pageSize"":20,""total"":0,""filterKey"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-选择物资列表,http,/ilogpurchase/rest/v1/procure/${cgid},,GET,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-新增购入验收,http,/ilogasset/rest/v1/acceptanceInfo/save,"{
    ""id"": """",
    ""source"": ""PURCHASE"",
    ""purchaseOrder"": ""${procureNo}"",
    ""purchaseOrderId"": ""${procureId}"",
    ""supplier"": ""${supplierName}"",
    ""supplierId"": ""${supplierId}"",
    ""remark"": """",
    ""files"": [],
    ""materials"": [
        {
            ""fkMaterialId"": ""${materialId}"",
            ""fkId"": ""${fkid}"",
            ""nickName"": ""${materialName}"",
            ""purchasePrice"": ${procurePrice},
            ""notAccepted"": """",
            ""specificationModel"": null,
            ""unit"": ""${procureUnit}"",
            ""acceptanceQuantity"": 1,
            ""purchaseQuantity"": ${contactOrderCount},
            ""acceptedQuantity"": ${checkCount},
            ""unitName"": ""${procureUnitName}""
        }
    ]
}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-新增其他方式验收,http,/ilogasset/rest/v1/acceptanceInfo/save,"{
    ""id"": """",
    ""source"": ""${sourcetype}"",
    ""supplier"": ""资产验收测试供应商"",
    ""supplierId"": ""资产验收测试供应商"",
    ""remark"": """",
    ""files"": [

    ],
    ""materials"": [
        {
            ""id"": """",
            ""fkMaterialId"": """",
            ""nickName"": ""测试验收资产"",
            ""specificationModel"": ""W-520"",
            ""unit"": ""${unitid}"",
            ""acceptanceQuantity"": 1,
            ""unitName"": ""${unitname}""
        }
    ]
}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-计量单位列表,http,/sysmgt/rest/v1/dict/dictionary/list/common-unit,,GET,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-验收列表,http,/ilogasset/rest/v1/acceptanceInfo/pageQuery,"{""pageNumber"":0,""pageSize"":20,""total"":14,""filterKey"":"""",""source"":"""",""departId"":"""",""startTime"":"""",""endTime"":"""",""sorts"":[]}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-验收列表筛选,http,/ilogasset/rest/v1/acceptanceInfo/pageQuery,"{""pageNumber"":0,""pageSize"":20,""total"":14,""filterKey"":""${orderNumber}"",""source"":"""",""departId"":"""",""startTime"":"""",""endTime"":"""",""sorts"":[]}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产验收-验收单详情,http,/ilogasset/rest/v1/acceptanceInfo/queryDetail/${id},,GET,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产档案-查看资产分类,http,/sysmgt/rest/v1/dict/dictionary/tree,"{""filterKey"":"""",""parentCode"":""basic-facility-type""}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产档案-资产位置选择列表,http,/ilogbasic/rest/v1/area/tree,,GET,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产档案-负责人列表,http,/sysmgt/rest/v1/user/page,"{""filterName"":""测试账号"",""departmentId"":"""",""pageSize"":20,""pageNumber"":0}",POST,{'content-type': 'application/json'},,msg,等于,success
资产管理,资产档案-供应商列表,http,/ilogbasic/rest/v1/supplier/page,"{""pageSize"":10,""pageNumber"":0,""filterKey"":""""}",POST,{'content-type': 'application/json'},,msg,等于,success
